FishName,Fish Length (pixel),FishArea(pixel^2),SpineLength(pixel),SpineCurvature(degrees),MaximumAnteriorCurve(degrees),MaximumPosteriorCurve(degrees),AverageVertebraLength,StandardDeviationVertebraLength,AverageVertebraArea,StandardDeviationVertebraArea,AverageBMD,StandardDeviationBMD,AverageDiskHealth,StandardDeviationDiskHealth,Age Cohort,Group
I20200224191953.1.dcm,1998,1998,959653,1942,0,11.36,55.606,4.272,1436.1,216.873,12.547,5.79,8.448601872,5.859049462,Young 2,Wild Type
I20200224191953.2.dcm,2810,2810,1233667,2148,13.7,0,64.138,7.988,1928.7,255.165,16.435,5.968,10.65201525,7.023161932,Young 2,Wild Type
I20200224191953.3.dcm,2689,2689,1634448,2305,31.56,18.79,67.548,9.004,2174.909,216.804,18.15,8.814,8.509719791,11.21937231,Young 2,Wild Type
I20200224191953.4.dcm,2895,2895,1202564,2247,11.46,7.97,64.031,6.478,1922.1,427.105,18.511,5.665,14.58613509,5.742116951,Young 2,Wild Type
I20200224191953.5.dcm,3209,3209,1798594,2682,18.01,0,85.854,38.724,3138.5,1385.28,25.169,5.22,18.93661347,5.292678352,Young 2,Wild Type
I20200224192348.1.dcm,2359,2359,940839,1944,11.81,0,52.492,3.612,1191.9,149.459,10.725,6.19,7.360201119,6.627360253,Old,Wild Type
I20200224192348.2.dcm,2961,2961,1279779,2620,30.68,0,68.614,8.082,1788.8,189.124,22.453,6.278,17.9353703,5.325116955,Old,Wild Type
I20200224192348.3.dcm,2523,2523,1491218,2300,26.27,0,65.713,2.888,1967.6,141.184,19.074,4.937,6.697009882,5.621532206,Old,Wild Type
I20200224192348.4.dcm,1997,1997,1499166,2079,0,0,72.759,25.146,2132.444,713.568,24.707,4.647,15.95833316,4.017470989,Old,Wild Type
I20200224192348.5.dcm,2833,2833,1694654,2211,20.84,0,74.133,21.226,2260.333,550.476,37.409,6.203,27.98128688,6.384285104,Old,Wild Type
I20200224192511.1.dcm,2353,2353,936323,1958,14.65,0,63.085,18.07,1536.111,372.137,13.538,5.804,8.815322342,5.479559591,Old,Wild Type
I20200224192511.2.dcm,3297,3297,1860159,2543,22.2,17,65.956,4.919,2106.3,230.924,31.029,7.674,25.93975281,7.41893281,Old,Wild Type
I20200224192511.3.dcm,2618,2618,1331215,2031,34.58,22.78,52.916,11.936,1446.2,352.955,19.277,5.532,18.18956332,5.032494859,Old,Wild Type
I20200224192511.4.dcm,3179,3179,1830024,2403,28.27,0,80.746,10.313,2332.3,318.242,24.654,5.169,15.53298547,4.253310975,Old,Wild Type
I20200224192932.1.dcm,2318,2318,920597,1907,25.58,16.79,55.956,4.491,1255.5,138.542,11.097,5.726,6.456092362,5.801734739,Old,Wild Type
I20200224192932.2.dcm,2746,2746,1802404,2365,43.64,23.39,75.135,12.729,2353,417.861,35.359,8.254,31.2778066,7.030293537,Old,Wild Type
I20200224192932.3.dcm,2527,2527,1666205,2331,26.2,0,102.447,25.604,2547.75,605.365,31.541,6.451,24.22582671,5.902741607,Old,Wild Type
I20200224193136.1.dcm,2315,2315,912881,1859,15.57,0,52.08,3.526,1032.6,157.455,10.928,5.795,7.100762201,5.786306142,Old,Wild Type
I20200224193136.2.dcm,2780,2780,1565525,2502,24.25,14.6,81.385,23.978,2466.444,765.317,30.818,7.28,23.25025896,5.786822767,Old,Wild Type
I20200224193136.3.dcm,2784,2784,1622897,2538,21.94,0,96.607,22.44,2557.667,528.088,27.171,7.467,19.55525534,5.853447861,Old,Wild Type
I20200224193136.4.dcm,3310,3310,2059159,2690,23.75,0,93.027,25.598,3141,819.968,37.467,7.976,30.82012214,5.594894103,Old,Wild Type
I20200224193318.1.dcm,2324,2324,913228,1929,19.2,9.89,54.699,5.103,1215.6,249.786,12.405,5.399,8.935749474,5.518908212,Old,Wild Type
I20200224193318.2.dcm,2583,2583,993196,2025,14.51,0,60.96,3.973,1631.6,131.814,13.35,4.202,6.178002626,3.79430222,Young 2,1
I20200224193318.3.dcm,2539,2539,1103600,2065,15.25,9.27,56.76,2.89,1442.6,85.153,12.494,6.326,7.203678203,5.677252672,Young 2,1
I20200224193318.4.dcm,2657,2657,1129604,2113,13.55,6.5,59.343,3.928,1593.1,226,17.189,5.423,17.45509261,6.406424276,Young 2,1
I20200224193318.5.dcm,2545,2545,1048883,2300,9.9,0,53.633,3.334,1183.6,142.373,17.023,4.744,17.70339857,5.402562711,Young 2,1
I20200224193318.6.dcm,2593,2593,1071308,2074,11.19,0,58.195,4.758,1602,282.922,13.931,4.072,9.934788696,3.635745977,Young 2,1
I20200224193448.1.dcm,2340,2340,913991,1943,17.76,0,63.01,23.14,1489.889,668.578,11.412,6.041,6.813807065,5.536571606,Young 2,1
I20200224193448.2.dcm,2811,2811,1240336,2118,11.1,0,63.51,5.884,1677.6,330.298,20.296,5.412,13.52619693,5.061948052,Young 2,1
I20200224193448.3.dcm,2541,2541,1506474,2291,17.68,0,59.478,4.646,1647.4,210.941,27.651,9.239,23.15482481,9.286195481,Young 2,1
I20200224193448.4.dcm,2963,2963,1722413,2449,18.93,0,63.697,6.824,2004.636,357.077,24.288,7.948,17.62589976,7.038632071,Young 2,1
I20200224193448.5.dcm,2644,2644,1253763,2113,20.1,0,61.157,3.328,1665.6,144.624,14.059,5.627,9.302743119,5.594240451,Young 2,1
I20200224193553.1.dcm,2309,2309,904887,1933,20.42,11.68,61.657,20.623,1475.778,491.985,12.341,6.008,8.27302809,5.883105914,Young 2,1
I20200224193553.2.dcm,2479,2479,1027502,2105,6.84,0,59.12,3.693,1298.3,221.596,13.436,4.93,7.831294261,5.587307461,Young 2,1
I20200224193553.3.dcm,2430,2430,1263304,2127,14.5,0,62.309,7.792,1761,232.25,22.767,5.063,17.1914586,4.822720096,Young 2,1
I20200224193943.1.dcm,2323,2323,905025,1922,18,0,61.655,21.095,1447.667,493.577,12.129,6.047,8.252495833,5.792159025,Very Young,2
I20200224193943.3.dcm,2166,2166,844242,1826,19.89,0,46.531,8.236,1133.3,99.298,14.022,8.213,7.488369724,6.690347022,Very Young,2
I20200224193943.4.dcm,2106,2106,772154,1738,21.07,0,56.128,21.124,1275,529.268,4.897,3.921,-0.9351975397,3.478105036,Very Young,2
I20200224193943.5.dcm,2426,2426,995184,1995,16.65,0,57.346,4.188,1552.5,222.095,10.135,4.662,3.280785172,3.906878126,Very Young,2
I20200224193943.6.dcm,2190,2190,869185,1803,19.74,0,49.404,5.428,1156.2,200.015,3.717,3.797,0.3522721593,3.245242966,Very Young,2
I20200224193943.7.dcm,1904,1904,668175,1833,15.78,0,51.884,3.628,1232.7,79.812,6.86,3.925,1.120063844,4.144868172,Very Young,2
I20200224194123.1.dcm,2267,2267,900147,1918,12.22,0,53.137,5.792,1316.6,199.366,11.299,5.357,7.891575133,5.050992961,Very Young,2
I20200224194123.2.dcm,2296,2296,923437,1856,17,0,53.996,3.785,1326.2,152.581,12.846,3.717,5.457570371,3.333071546,Very Young,2
I20200224194123.3.dcm,2250,2250,885780,1831,16.58,0,48.965,3.631,1034.7,123.167,11.523,4.902,6.717385021,4.137654159,Very Young,2
I20200224194123.4.dcm,2269,2269,967232,1946,23.58,0,51.027,5.52,1013.6,179.285,8.539,5.105,4.756316119,4.038748491,Very Young,2
I20200224194123.5.dcm,2195,2195,965156,1916,16.25,0,58.337,5.18,1449.4,138.896,10.173,4.245,4.82598209,3.826044496,Very Young,2
